                        chip high  chip low  control high  control low
chrI:255-454                161.0     633.0         356.0        503.0
chrI:16097-16296            104.0     614.0         348.0        517.0
chrI:29274-29473            100.0     596.0         355.0        536.0
chrI:31612-31811            156.0     585.0         351.0        526.0
chrI:35336-35535            408.0     568.0         362.0        484.0
chrI:45304-45503            158.0     567.0         363.0        482.0
chrI:45382-45581             69.0     568.0         368.0        521.0
chrI:68723-68922            280.0     744.0         367.0        523.0
chrI:68972-69171            137.0    2945.0         383.0        526.0
chrI:71166-71365            217.0    3522.0         372.0        538.0
chrI:78213-78412            203.0     484.0        2010.0       2251.0
chrI:99779-99978             66.0     247.0        2626.0       3469.0
chrI:100054-100253          152.0     277.0        1684.0       2252.0
chrI:106619-106818          181.0     373.0        2810.0       4534.0
chrI:113529-113728          314.0     368.0        2455.0       3153.0
chrI:116444-116643           90.0     632.0        2868.0       4676.0
chrI:119651-119850           69.0     549.0        1444.0       2592.0
chrI:127210-127409          130.0     684.0        3362.0       4894.0
chrI:130485-130684          171.0     461.0        2120.0       3490.0
chrI:141767-141966          126.0    7136.0        3556.0       5355.0
chrI:143869-144068          136.0    1466.0        3444.0       4244.0
chrI:159951-160150           84.0     505.0        2261.0       3459.0
chrI:190656-190855          126.0     610.0        2115.0       2751.0
chrI:219645-219844           38.0     213.0         353.0        622.0
chrI:225079-225278           41.0     227.0         355.0        650.0
chrI:229760-229959           46.0     234.0         343.0        636.0
chrII:2331-2530              52.0     228.0         355.0        643.0
chrII:26797-26996            71.0     242.0         361.0        645.0
chrII:39825-40024           108.0     272.0         370.0        659.0
chrII:62295-62494           146.0     274.0         353.0        652.0
chrII:63423-63622           173.0     254.0         354.0        633.0
chrII:83930-84129           176.0     238.0         363.0        643.0
chrII:91027-91226           122.0     236.0         359.0        645.0
chrII:92114-92313            72.0     256.0         368.0        605.0
chrII:115506-115705         141.0     244.0         382.0        571.0
chrII:116504-116703         180.0     243.0         373.0        580.0
chrII:167653-167852         141.0     252.0        1126.0       2179.0
chrII:173787-173986         100.0     251.0        2989.0       4909.0
chrII:194192-194391         219.0     352.0        4080.0       5537.0
chrII:198085-198284          53.0     247.0        1889.0       2907.0
chrII:204909-205108         120.0     252.0        2747.0       3865.0
chrII:258311-258510          63.0     233.0        2166.0       4336.0
chrII:269636-269835         176.0     229.0        2915.0       3843.0
chrII:290041-290240         127.0     245.0        3350.0       4501.0
chrII:309877-310076         239.0     242.0        4131.0       4168.0
chrII:315268-315467          92.0     293.0        1817.0       2143.0
chrII:329310-329509         137.0     276.0        2328.0       3682.0
chrII:336757-336956         149.0     268.0        2663.0       4511.0
chrII:337008-337207         112.0     287.0        3332.0       3530.0
chrII:371457-371656         155.0     287.0        3449.0       4480.0
chrII:371566-371765          66.0     278.0        1682.0       2335.0
chrII:379402-379601         182.0     282.0        3046.0       4642.0
chrII:426097-426296         155.0     296.0        2703.0       3624.0
chrII:426936-427135         162.0     359.0        3125.0       4083.0
chrII:431101-431300          51.0   13579.0        3289.0       4333.0
chrII:457938-458137          96.0     762.0        2824.0       3869.0
chrII:461133-461332         225.0     525.0        2494.0       5336.0
chrII:466483-466682         170.0     718.0        2169.0       3729.0
chrII:472799-472998         116.0     794.0        2253.0       3335.0
chrII:501165-501364          98.0     648.0        2982.0       4347.0
chrII:509398-509597         136.0     325.0        1589.0       2663.0
chrII:509550-509749          71.0     389.0        1460.0       3238.0
chrII:545522-545721         119.0     335.0        2323.0       4447.0
chrII:568871-569070         256.0     447.0        2712.0       3339.0
chrII:586619-586818         196.0     484.0        2094.0       3358.0
chrII:594487-594686          79.0     490.0        1944.0       3658.0
chrII:617171-617370         289.0     633.0        2468.0       3506.0
chrII:644738-644937         377.0     759.0        3833.0       4815.0
chrII:650061-650260          94.0     418.0        1429.0       2853.0
chrII:668684-668883         318.0     663.0        3790.0       3005.0
chrII:668701-668900          66.0     250.0         606.0        763.0
chrII:678434-678633         194.0     465.0        2218.0       3509.0
chrII:706560-706759         305.0     424.0        2907.0       3566.0
chrII:709704-709903         278.0     406.0        2043.0       3194.0
chrII:716350-716549         221.0     595.0        2319.0       4981.0
chrII:718442-718641         338.0     634.0        3099.0       4633.0
chrII:727111-727310         184.0     644.0        1937.0       3243.0
chrII:776287-776486         115.0    1394.0        1171.0       2621.0
chrII:798742-798941         122.0   23532.0        1457.0       2928.0
chrIII:20215-20414          150.0     280.0         406.0        578.0
chrIII:32816-33015          173.0     266.0         425.0        561.0
chrIII:50383-50582           88.0     281.0         413.0        554.0
chrIII:50411-50610           41.0     281.0         389.0        564.0
chrIII:54174-54373          142.0     363.0         393.0        558.0
chrIII:60086-60285          248.0     567.0         387.0        537.0
chrIII:61235-61434          172.0     468.0         387.0        519.0
chrIII:66270-66469          239.0     750.0         385.0        504.0
chrIII:137104-137303        139.0    2306.0         403.0        493.0
chrIII:151741-151940         84.0     242.0         380.0        497.0
chrIII:163591-163790        468.0    5134.0        2905.0       2802.0
chrIII:191124-191323        121.0     332.0        2619.0       3074.0
chrIII:197214-197413         98.0   12467.0        2487.0       2738.0
chrIII:208886-209085        121.0     569.0        2374.0       2840.0
chrIII:213385-213584        182.0     506.0        3337.0       4007.0
chrIII:213677-213876         75.0     448.0        2588.0       2978.0
chrIII:222053-222252        177.0     326.0        4188.0       4281.0
